input,winner,probability,harmony,operation,output,merge_cond_(68.93),exhaust_ws_(51.72),label_cons_(47.26),case_agr_(27.57),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(79.98),wh_(10.09),foc_(22.63),cl_(0.00),case_mt_(82.62),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(68.31),LB_v_(21.04),LB_T_(34.16),LB_C_(0.00),LB_DP2_(0.00)
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,0.011440317335582562,-51.71920955859458,rMerge,[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],1,0.9999999999999984,0.0,Label,[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.4673162756146601e-15,-34.155341325520745,Label,[T [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.195108107641132e-73,-167.91047514062842,iMerge,[.. [C] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0323576577970748e-43,-98.97931382409246,iMerge,[.. [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0323576577970748e-43,-98.97931382409246,iMerge,[.. [DP] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0988254316263782e-55,-126.54793829479203,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0988254316263782e-55,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0323576577970748e-43,-98.97931382409246,rMerge,[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,2.9867405847689703e-21,-98.97931382409246,iMerge,[.. [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]] [C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,2.9867405847689703e-21,-98.97931382409246,iMerge,[.. [DP] [C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,3.179040216757797e-33,-126.54793829479203,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,3.179040216757797e-33,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],1,1.0,-51.71920955859458,rMerge,[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],1,0.9885596826644174,-47.26010426549789,xMerge,[.. [V wh] [DP foc]],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],0,1.1444054129074116e-30,-116.19126558203385,xMerge,[.. [v] [DP foc]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],0,1.1444054129074116e-30,-116.19126558203385,xMerge,[.. [DP2 case_agr] [DP foc]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],0,1.1444054129074116e-30,-116.19126558203385,xMerge,[.. [T case] [DP foc]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],0,1.1444054129074116e-30,-116.19126558203385,xMerge,[.. [C] [DP foc]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP foc],0,0.011440317335582562,-51.71920955859458,rMerge,[DP foc],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],1,0.9993518664387686,-90.94539369720151,Label,[V wh [V wh] [DP foc]],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,4.830649889061999e-09,-110.09303017924341,Label,[DP foc [V wh] [DP foc]],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,1.0853644122325212e-11,-116.19126558203385,xMerge,[.. [v] [.. [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,1.0853644122325212e-11,-116.19126558203385,xMerge,[.. [DP2 case_agr] [.. [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,1.0853644122325212e-11,-116.19126558203385,xMerge,[.. [T case] [.. [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,1.0853644122325212e-11,-116.19126558203385,xMerge,[.. [C] [.. [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,3.751528566567309e-34,-167.91047514062842,iMerge,[.. [V wh] [.. [V wh] [DP foc]]],1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,0.00032406434358348506,-98.97931382409246,iMerge,[.. [DP foc] [.. [V wh] [DP foc]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [V wh] [DP foc]],0,0.00032406434358348506,-98.97931382409246,rMerge,[.. [V wh] [DP foc]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],1,0.9885596826641891,-69.89361908766398,xMerge,[.. [v] [V wh [V wh] [DP foc]]],0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],0,1.1444054129071473e-30,-138.82478040419994,xMerge,[.. [DP2 case_agr] [V wh [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],0,1.1444054129071473e-30,-138.82478040419994,xMerge,[.. [T case] [V wh [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],0,1.1444054129071473e-30,-138.82478040419994,xMerge,[.. [C] [V wh [V wh] [DP foc]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],0,2.3080550756622407e-13,-98.97931382409246,iMerge,[.. [DP foc] [V wh [V wh] [DP foc]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[V wh [V wh] [DP foc]],0,0.011440317335580003,-74.35272438076066,rMerge,[V wh [V wh] [DP foc]],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],1,0.999999516471114,-76.40291517867382,Label,[v [v] [V wh [V wh] [DP foc]]],0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,4.833721408270882e-07,-90.94539369720151,Label,[V wh [v] [V wh [V wh] [DP foc]]],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,7.7719173317194125e-28,-138.82478040419994,xMerge,[.. [DP2 case_agr] [.. [v] [V wh [V wh] [DP foc]]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,7.7719173317194125e-28,-138.82478040419994,xMerge,[.. [T case] [.. [v] [V wh [V wh] [DP foc]]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,7.7719173317194125e-28,-138.82478040419994,xMerge,[.. [C] [.. [v] [V wh [V wh] [DP foc]]]],1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,2.686339220112429e-50,-190.5439899627945,iMerge,[.. [v] [.. [v] [V wh [V wh] [DP foc]]]],1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,2.3205121340842286e-20,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [.. [v] [V wh [V wh] [DP foc]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,1.5674526739203524e-10,-98.97931382409246,iMerge,[.. [DP foc] [.. [v] [V wh [V wh] [DP foc]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [v] [V wh [V wh] [DP foc]]],0,2.3205121340842286e-20,-121.61282864625855,rMerge,[.. [v] [V wh [V wh] [DP foc]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],1,0.9870208738940421,-102.62016408907347,xMerge,[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],0,1.142624012029807e-30,-171.55132540560945,xMerge,[.. [T case] [v [v] [V wh [V wh] [DP foc]]]],1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],0,1.142624012029807e-30,-171.55132540560945,xMerge,[.. [C] [v [v] [V wh [V wh] [DP foc]]]],1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],0,5.57079174754031e-09,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [v [v] [V wh [V wh] [DP foc]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],0,0.001556611391603346,-109.07234400333587,iMerge,[.. [DP foc] [v [v] [V wh [V wh] [DP foc]]]],0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[v [v] [V wh [V wh] [DP foc]]],0,0.011422509143562732,-107.07926938217017,rMerge,[v [v] [V wh [V wh] [DP foc]]],0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],1,0.9999998729330404,-88.08691474240308,Label,[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1.2629757172304378e-07,-103.97153964937343,Label,[v [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,5.647639388494059e-37,-171.55132540560945,xMerge,[.. [T case] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,5.647639388494059e-37,-171.55132540560945,xMerge,[.. [C] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1.9520891104237873e-59,-223.27053496420402,iMerge,[.. [DP2 case_agr] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1.6862525900070445e-29,-154.33937364766805,iMerge,[.. [v [v] [V wh [V wh] [DP foc]]] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,2.7534711827573236e-15,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,7.693851796603305e-10,-109.07234400333587,iMerge,[.. [DP foc] [.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1.6862525900070445e-29,-154.33937364766805,rMerge,[.. [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,3.8133737552780564e-23,-170.70334296339652,mtAgree,[DP2 [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,8.63973382794463e-08,-135.34670909048296,xMerge,[.. [T case] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1.0001781715525665e-37,-204.27787040701895,xMerge,[.. [C] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,4.876305981227399e-16,-154.33937364766805,iMerge,[.. [v [v] [V wh [V wh] [DP foc]]] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,0.0796248917699852,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],1,0.9203750208328243,-119.16537418257927,iMerge,[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,9.998515863023034e-10,-139.80581438357967,rMerge,[DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]],0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1.1067466207800754e-50,-157.84771500842982,Label,[DP foc [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,1.0,-42.81988509807092,Label,[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,2.3362520804747245e-41,-136.37732594052068,xMerge,[.. [T case] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,2.3362520804747245e-41,-136.37732594052068,xMerge,[.. [C] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,6.975500471286953e-34,-119.16537418257927,iMerge,[.. [DP foc] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,2.263307655319025e-63,-187.06591864907753,iMerge,[.. [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,3.69574074700681e-49,-154.33937364766805,iMerge,[.. [v [v] [V wh [V wh] [DP foc]]] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,6.034751677257772e-35,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,6.975500471286953e-34,-119.16537418257927,rMerge,[.. [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,4.3632681567163047e-16,-125.43631331906435,mtAgree,[DP2 [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],1,0.9885596826641692,-90.07967944615079,xMerge,[.. [T case] [DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1.144405412907108e-30,-159.01084076268677,xMerge,[.. [C] [DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,2.3080550756621943e-13,-119.16537418257927,iMerge,[.. [DP foc] [DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1.222847482352318e-28,-154.33937364766805,iMerge,[.. [v [v] [V wh [V wh] [DP foc]]] [DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0
remnant_[DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]],0,1.996779915131449e-14,-121.61282864625855,iMerge,[.. [V wh [V wh] [DP foc]] [DP2 case_agr [DP foc] [DP2 case_agr [DP2 case_agr] [v [v] [V wh [V wh] [DP foc]]]]]],0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
